# Pressure Temperature gibbs S V rho alpha beta_T molar_C_p C_p_per_kilogram
1.000000000000000000e+11 2.000000000000000000e+03 -1.776470739508815110e+06 2.656546650004457888e+02 1.951713201608057228e-05 5.143619457883855830e+03 1.073506121540966193e-05 1.728158182220344998e-12 1.291411331151468289e+02 1.286411051394697097e+03
1.050000000000000000e+11 2.000000000000000000e+03 -1.679301568274929188e+06 2.646260463815203252e+02 1.935154230522465407e-05 5.187633027724948079e+03 1.043942617181649626e-05 1.680566081040407798e-12 1.290345016150909316e+02 1.285348865112218164e+03
1.100000000000000000e+11 2.000000000000000000e+03 -1.582945605905659264e+06 2.636336288978183120e+02 1.919178034763318398e-05 5.230817474022433998e+03 1.016207499101239642e-05 1.635917363828897615e-12 1.289346545046499557e+02 1.284354260037732956e+03
1.150000000000000000e+11 2.000000000000000000e+03 -1.487374701316362014e+06 2.626749997255622588e+02 1.903745772063489714e-05 5.273219852837159124e+03 9.901319893846476048e-06 1.593940327491545510e-12 1.288409440963603743e+02 1.283420784374739242e+03
1.200000000000000000e+11 2.000000000000000000e+03 -1.392562550103492569e+06 2.617479779749518229e+02 1.888822333889573693e-05 5.314883152258884365e+03 9.655676947926057797e-06 1.554396084717436600e-12 1.287528031645971112e+02 1.282542787829677081e+03
1.250000000000000000e+11 2.000000000000000000e+03 -1.298484519731343491e+06 2.608505859766587491e+02 1.874375883204382862e-05 5.355846759422563991e+03 9.423836007266515687e-06 1.517073724785355160e-12 1.286697327995394176e+02 1.281715300621877077e+03
1.300000000000000000e+11 2.000000000000000000e+03 -1.205117496043063933e+06 2.599810248706029370e+02 1.860377461488689019e-05 5.396146861490578885e+03 9.204635839010968251e-06 1.481786309398181131e-12 1.285912923987201850e+02 1.280933933786573562e+03
1.350000000000000000e+11 2.000000000000000000e+03 -1.112439747946113348e+06 2.591376537468196375e+02 1.846800652945460968e-05 5.435816791589830245e+03 8.997043419538577915e-06 1.448367539716350489e-12 1.285170913696233868e+02 1.280194796522152274e+03
1.400000000000000000e+11 2.000000000000000000e+03 -1.020430807664093678e+06 2.583189717364156763e+02 1.833621296195401214e-05 5.474887328604739196e+03 8.800136604657712654e-06 1.416668966560302741e-12 1.284467822113807074e+02 1.279494427274989221e+03
1.450000000000000000e+11 2.000000000000000000e+03 -9.290713643829192733e+05 2.575236025662792940e+02 1.820817235634629300e-05 5.513386958082612182e+03 8.613089547671365142e-06 1.386557642972582050e-12 1.283800547152433467e+02 1.278829735968723071e+03
